date,coin,price,volume,market_cap,sentiment_score,search_interest,daily_return,volatility_7d
2024-12-02,BITCOIN,97311.70719084324,49147687432.565895,1925808416477.5068,0.0414642942,37,NA,NA
2024-12-03,BITCOIN,95833.1362300365,101019861361.49252,1896576914275.523,-0.0633689482,35,-0.01519417348117258,NA
2024-12-04,BITCOIN,96031.63097759832,87935752287.975,1900922167493.3645,0.107400025752,35,0.00207125379978534,NA
2024-12-05,BITCOIN,98881.4694561823,98230784298.0459,1957276192604.2605,-0.109387289322,100,0.02967603954626962,NA
2024-12-06,BITCOIN,97201.5003640774,190460293531.538,1920742551503.6096,0.045478503311,61,-0.01698972619788319,NA
2024-12-07,BITCOIN,99973.85150659826,115812632020.44765,1978389972043.795,0.069123291666,44,0.02852169083951117,NA
2024-12-08,BITCOIN,99781.82999198174,61061136199.7846,1974739091620.7544,0.080784956268,38,-0.00192071738482391,NA
2024-12-09,BITCOIN,101235.3717025316,62677764785.05408,2003238967638.8289,0.039370291063,42,0.01456719836333597,0.01913479273851266
2024-12-10,BITCOIN,97353.94700820888,146846843211.51685,1926047690157.628,0.029589594027,42,-0.03834059804440537,0.02459272318435324
2024-12-11,BITCOIN,96649.71446771533,125835977742.51114,1913115778728.2837,0.048842604433,39,-0.00723373383550818,0.02487043537694225
2024-12-12,BITCOIN,101123.61811033696,118484957960.76833,2001746436338.842,7.40108478e-4,39,0.04628987956416686,0.02856157457370272
2024-12-13,BITCOIN,100000.80836535196,100092043319.8122,1979166149963.309,-0.010538000632,33,-0.01110333832952747,0.02793563225881594
2024-12-14,BITCOIN,101352.22971292294,78802903278.85962,2005406021235.8357,-0.001457935061,30,0.01351410423237342,0.02630382964066433
2024-12-15,BITCOIN,101367.01064553364,57321924844.41535,2007646386698.8667,0.070214555446,32,1.4583727119332757e-4,0.02626073681488734
2024-12-16,BITCOIN,104721.50151808978,70645074624.52869,2075487816560.1924,0.020397157005,49,0.03309253031330206,0.02851087633866887
2024-12-17,BITCOIN,106074.10723541168,115184737759.33566,2097460193710.789,0.077521384327,46,0.01291621775579909,0.02107989156206472
2024-12-18,BITCOIN,106034.913402645,93417826250.1972,2100629850064.912,0.019631923739,43,-3.6949481629566794e-4,0.02014698167255725
2024-12-19,BITCOIN,100355.5761481501,113692025885.44743,1985284833093.572,0.058593293071,48,-0.05356101186152562,0.0271805292992568
2024-12-20,BITCOIN,97851.35377075804,100611554887.24124,1937022229972.2085,-0.072587168291,46,-0.02495349509722488,0.02852906433790273
2024-12-21,BITCOIN,97691.43431692652,112340864006.62828,1932373308116.0107,-0.012033813117,30,-0.00163431008022818,0.02765121099583629
2024-12-22,BITCOIN,97202.82496847631,53058382639.48845,1922768195068.165,0.04318947656,29,-0.00500155772987298,0.02756267959689786
2024-12-23,BITCOIN,95094.27394862172,44619017105.36954,1884599149192.4587,0.027919650642,34,-0.02169228127411338,0.02193330644603836
2024-12-24,BITCOIN,94644.9108546432,64937790292.61125,1874912975786.6604,0.090719572076,34,-0.00472544849778555,0.01924475330868421
2024-12-25,BITCOIN,98695.714007826,49169088282.15742,1951173788529.116,-0.004901519664,30,0.04280001023408508,0.02934931168937621
2024-12-26,BITCOIN,99344.95417367227,33963749856.44743,1966481159354.1177,0.031791862177,34,0.00657820020223764,0.02238945134729783
2024-12-27,BITCOIN,95678.31244565404,45049342388.18843,1894744251986.1084,-0.007924334367,33,-0.03690818279112906,0.02482395629688153
2024-12-28,BITCOIN,94331.94727053076,41498540807.666954,1867708753554.924,-0.022371628841,26,-0.01407179057310426,0.02515774693001045
2024-12-29,BITCOIN,95184.61945288602,22429850903.940086,1885556552231.4312,0.016554179923,26,0.00903906054128089,0.0256854924319101
2024-12-30,BITCOIN,93663.44751964069,24065314499.502274,1854872605738.8088,0.032298352341,34,-0.01598127871907173,0.02506533005064218
2024-12-31,BITCOIN,92627.28213113276,57595164139.4709,1833188187477.531,0.009003768809,30,-0.01106264413650393,0.02529793704845262
2025-01-01,BITCOIN,93507.85874741492,45327464907.74362,1851839954625.13,0.02695001891,24,0.00950666581186632,0.01709578038215874
2025-01-02,BITCOIN,94384.1761153871,23275007789.496338,1869193319140.2424,-0.016486467437,30,0.00937159057763614,0.01750834844103872
2025-01-03,BITCOIN,96852.14681235077,45157338602.61752,1917905016063.62,0.106101016801,29,0.02614814048857594,0.01578752341375198
2025-01-04,BITCOIN,98084.34279280754,35721645948.10051,1942834829349.9563,-0.097590528592,23,0.0127224436526343,0.01447769767242614
2025-01-05,BITCOIN,98256.73876849932,20979035420.980793,1946611205641.351,0.074446012779,24,0.00175762992117878,0.01445750422698281
2025-01-06,BITCOIN,98364.58946599838,20060293834.7155,1948339898718.8584,0.04721891149,30,0.00109764173786741,0.0115458720418281
2025-01-07,BITCOIN,102229.39453189744,46111387334.46171,2024825178619.8228,0.022282434933,32,0.03929061349089458,0.01382190557905192
2025-01-08,BITCOIN,96952.09886774956,60610257147.15405,1919133187081.3127,0.026174590833,29,-0.05162209644605942,0.02866942058736373
2025-01-09,BITCOIN,95016.71440989176,65790469838.34392,1885313354913.724,0.052378010046,30,-0.01996227498383318,0.03012268322025612
2025-01-10,BITCOIN,92376.275783461,65850881574.76184,1832933628117.9436,-0.001740151833,29,-0.02778920154026998,0.02961565017198219
2025-01-11,BITCOIN,94736.6267420969,63433655716.757095,1876836759923.398,-0.017837889321,21,0.02555148428118903,0.0313399570750989
2025-01-12,BITCOIN,94559.55167224212,17836423168.41627,1874286243377.8523,0.049803712944,20,-0.00186912998640764,0.03124862493279332
2025-01-13,BITCOIN,94454.77089638809,19608932595.53299,1870314882306.9236,0.057846688411,29,-0.0011080929848023,0.03118744164475992
2025-01-14,BITCOIN,94456.3493746993,76328330233.31137,1870609367804.8225,0.022450634893,27,1.6711472552000117e-5,0.02466762107006302
2025-01-15,BITCOIN,96574.07768799194,51241728228.81719,1912603332624.1123,0.055595535572,30,0.02242017955713926,0.01970585350123864
2025-01-16,BITCOIN,100313.15239828422,57637319739.54339,1986831430651.8647,0.049367865931,31,0.03871716717163309,0.02230282842891093
2025-01-17,BITCOIN,100044.57926776377,50150102497.2729,1980935754458.284,0.01088857961,35,-0.00267734712846134,0.01697049442415607
2025-01-18,BITCOIN,104160.69358484232,69135117732.00064,2063854663834.0776,-0.015664819129,30,0.04114280201091169,0.01988322644746956
2025-01-19,BITCOIN,104334.61575724394,49416447749.13053,2067151195362.0425,0.045453399065,32,0.0016697486010877,0.01945869845697687
2025-01-20,BITCOIN,101275.33714814208,72970313683.92325,2014842808849.5005,-0.016380505755,51,-0.02932179878076046,0.02524624001135188
2025-01-21,BITCOIN,101764.90860170544,120158523166.88388,2017837068202.1384,0.027159855004,45,0.00483406392266316,0.02498410626629467
2025-01-22,BITCOIN,106182.2368201815,95344290057.8965,2098829000928.49,-0.025936828823,39,0.04340718504219265,0.02769899754117624
2025-01-23,BITCOIN,103673.53509537788,55030669602.56557,2054288661793.9773,0.105780004305,43,-0.02362637857264293,0.02842798793177605
2025-01-24,BITCOIN,104067.60991206949,102455227371.2076,2062360759045,-0.041981137078,38,0.00380111294872942,0.02823889205852226
2025-01-25,BITCOIN,104835.19253555956,51418786362.7815,2076156720642.786,-0.016909507001,29,0.0073758071713057,0.02376166216731152
2025-01-26,BITCOIN,104796.04077738234,22740744964.719296,2077647817531.3408,0.020442395279,26,-3.7346006842065016e-4,0.02376694598177753
2025-01-27,BITCOIN,102552.24874280208,20639818380.26942,2036324005947.406,0.019480479288,36,-0.02141103822182311,0.02223042770808022
2025-01-28,BITCOIN,101958.46953745594,93191643783.2474,2019295541213.5288,-0.024190163935,31,-0.00579001643187082,0.02236702047248658
2025-01-29,BITCOIN,101313.11264498268,45780526813.56264,2007072201507.527,0.057825569537,28,-0.0063296055286135,0.01191823794128877
2025-01-30,BITCOIN,103718.97939813643,47425401641.53094,2056581551171.7,0.035864547065,30,0.02374684471085508,0.01393302627080129
2025-01-31,BITCOIN,104781.5135100103,42122570869.034325,2076760153260.6191,0.027574791066,26,0.01024435564290704,0.01441911827225124
